能力,任务,题目,模型答案,知识点类型,知识点标题,知识点内容,知识点路径
语义理解,文本摘要,"你是告警助理，你的任务是根据用户提供的内容进行摘要总结

触发身份识别流程的情形：SGSN通过命令MOD IUAUTHCIPH和MOD GBAUTHCIPH设置分别对3G和2G网络强制进行身份识别，当手机用户使用P-TMSI附着，且没有发生过SGSN改变时，发送Identity Request消息。身份识别流程：1. SGSN向MS发送身份标识请求消息Identity Request。2. MS收到Identity Request请求后，通过发送网络身份标识响应消息Identity Response，将用户的身份信息（IMSI、IMEI、IMEISV）发送到SGSN。

输出格式为json格式{""总结"":""""}","{""总结"":""身份识别流程在SGSN对3G和2G网络强制身份识别的设置下触发，特别是当手机用户使用P-TMSI附着且没有SGSN改变时。流程具体包括SGSN向MS发送身份标识请求消息Identity Request，以及MS在收到请求后，通过发送网络身份标识响应消息Identity Response，将用户的身份信息（如IMSI、IMEI、IMEISV）发送到SGSN。""}",处理步骤,详细介绍了身份识别流程，包括触发身份识别流程的情形和身份识别流程的具体步骤。,触发身份识别流程的情形：SGSN通过命令MOD IUAUTHCIPH和MOD GBAUTHCIPH设置分别对3G和2G网络强制进行身份识别，当手机用户使用P-TMSI附着，且没有发生过SGSN改变时，发送Identity Request消息。身份识别流程：1. SGSN向MS发送身份标识请求消息Identity Request。2. MS收到Identity Request请求后，通过发送网络身份标识响应消息Identity Response，将用户的身份信息（IMSI、IMEI、IMEISV）发送到SGSN。,网络部署/特性部署/UNC特性指南/安全管理功能/WSFD-010304 身份识别功能/身份识别功能（2G&3G）/unc_2010_feature_desc_identity_check_01.html
语义理解,文本摘要,"你是告警助理，你的任务是根据用户提供的内容进行摘要总结

介绍WSFD-011201离线计费功能的相关告警，这些告警用于监控离线计费功能的运行状态。本特性相关的告警如下：

  * [ALM-81021 CG无响应]
  * [ALM-81059 超期话单缓存]
  * [ALM-81005 话单池空间不足]
  * [ALM-81033 配置与业务冲突]

输出格式为json格式{""总结"":""""}","{""总结"":""WSFD-011201离线计费功能的相关告警包括ALM-81021 CG无响应，ALM-81059 超期话单缓存，ALM-81005 话单池空间不足，和ALM-81033 配置与业务冲突。这些告警用于监控离线计费功能的运行状态。""}",事实陈述,介绍WSFD-011201离线计费功能的相关告警，这些告警用于监控离线计费功能的运行状态,"本特性相关的告警如下：

  * [ALM-81021 CG无响应](../Alarms/81021.html)
  * [ALM-81059 超期话单缓存](../Alarms/81059.html)
  * [ALM-81005 话单池空间不足](../Alarms/81005.html)
  * [ALM-81033 配置与业务冲突](../Alarms/81033.html)",网络部署/特性部署/UNC特性指南/计费管理功能/WSFD-011201 支持离线计费/WSFD-011201 支持离线计费参考信息/unc_2030_feature_desc_offline_billing_15.html
语义理解,文本摘要,"你是告警助理，你的任务是根据用户提供的内容进行摘要总结

网络对UE进行移动性管理必然涉及到UE的身份标识，在5G网络中使用到的身份标识有：

  * 永久身份标识（SUPI，Subscription Permanent Identifier），全球唯一，全网都据此标识来识别一个用户，5G网络中是SUPI，4G网络中是IMSI。
  * 永久设备标识（PEI，Permanent Equipment Identifier），全球唯一，唯一标识一个设备，5G网络中是PEI，4G网络中是IMEI。
  * 临时身份标识，由核心网分配，用来避免在网络上传输永久身份标识，防止攻击者跟踪用户的位置及活动状况。

输出格式为json格式{""总结"":""""}","{""总结"":""在5G网络中，UE身份标识包括永久身份标识SUPI，这是全球唯一的，用于全网识别一个用户，对应4G网络中的IMSI。另一种是永久设备标识PEI，这也是全球唯一的，用于唯一标识一个设备，对应4G网络中的IMEI。另外，还有临时身份标识，由核心网分配，用来在网络上传输时避免暴露永久身份标识，以防止攻击者跟踪用户的位置和活动状况。""}",概念介绍,描述5G网络中UE标识的概念，以及在4G和5G网络中的对比分析,"网络对UE进行移动性管理必然涉及到UE的身份标识，在5G网络中使用到的身份标识有：

  * 永久身份标识（SUPI，Subscription Permanent Identifier），全球唯一，全网都据此标识来识别一个用户，5G网络中是SUPI，4G网络中是IMSI。
  * 永久设备标识（PEI，Permanent Equipment Identifier），全球唯一，唯一标识一个设备，5G网络中是PEI，4G网络中是IMEI。
  * 临时身份标识，由核心网分配，用来避免在网络上传输永久身份标识，防止攻击者跟踪用户的位置及活动状况。",快速入门/协议与流程/5G Core信令分析/业务流程/连接、注册、移动性管理/zh-cn_concept_0276785160.html
语义理解,文本摘要,"你是告警助理，你的任务是根据用户提供的内容进行摘要总结

描述了将4G网络演进成MME Pool的部署流程，主要包括组网部署流程和配置部署流程。部署流程为：首先在MME、eNodeB等网元上首先完成基本业务的数据配置，然后通过U2020/MAE统一进行维护管理。整个工程实施过程分为3个部分：升级和演进准备阶段、网络工程实施阶段、遗留问题处理，网络调整优化阶段。将现网演进成Pool，可能涉及很多台MME和eNodeB，但是其基本原理是一样的。首先将所有MME组建成一个Pool区，然后逐渐将eNodeB加入Pool区当中。需要特别注意的是，整个演进过程中，应该通过规划，尽量使演进过程对网络的影响最小。

输出格式为json格式{""总结"":""""}","{""总结"":""部署流程主要包括组网部署流程和配置部署流程，涉及到MME、eNodeB等网元的基本业务数据配置和维护管理。整个工程实施过程包括升级和演进准备阶段、网络工程实施阶段、遗留问题处理和网络调整优化阶段。演进过程可能涉及多台MME和eNodeB，其基本原理是将所有MME组建成一个Pool区，然后逐渐将eNodeB加入Pool区当中，整个过程需要规划，以最小化对网络的影响。""}",处理步骤,描述了将4G网络演进成MME Pool的部署流程，主要包括组网部署流程和配置部署流程。,"部署流程

组网部署流程
本场景适用于将现网的MME、eNodeB演进成Pool的工程。整个施工过程中，没有新设备加入。
需要在MME、eNodeB等网元上首先完成基本业务的数据配置，然后通过U2020/MAE统一进行维护管理。具体配置步骤请参照《UNC初始配置与调测》和《U2020 MBB网络管理系统 虚拟化产品文档》 / 《iMaster MAE产品文档》。
现网演进工程实施主要应考虑整个工程对现网业务影响最小，由于整个工程实施过程可能时间较长，所以每一个分解步骤过程都应是可逆过程，即可以进行倒回；同时每一个分解过程都是稳定的，即可以随时停顿在任何一个实施阶段，而现有网络业务没有影响。
整个工程实施过程分为3个部分：

升级和演进准备阶段。
网络工程实施阶段。
遗留问题处理，网络调整优化阶段。

其中在网络工程实施阶段中包括对每一阶段的调测工作。
将现网演进成Pool，可能涉及很多台MME和eNodeB，但是其基本原理是一样的。
首先将所有MME组建成一个Pool区，然后逐渐将eNodeB加入Pool区当中。需要特别注意的是，整个演进过程中，应该通过规划，尽量使演进过程对网络的影响最小。

配置部署流程
在数据配置流程方面，一般按图3的流程进行配置：",网络部署/特性部署/UNC特性指南/容灾功能/MME容灾方案/改造部署/4G现网演进成MME Pool/zh-cn_topic_0202307847.html
语义理解,文本摘要,"你是告警助理，你的任务是根据用户提供的内容进行摘要总结

5G网络需要承载多类型的业务场景，各场景将区别于4G，不再使用一张网络提供服务，而是利用网络切片技术在同一个硬件基础设施上按需分配资源组合出不同且相互隔离的切片网络。网络切片是一个端到端的概念，包括无线、传输及核心网，UNC则提供了核心网内的切片功能，主要由NSSF网络功能来实现。网络切片使用S-NSSAI（Single Network Slice Selection Assistance Information）进行标识。相关概念如下：Subscribed S-NSSAIs、Requested NSSAI、Configured NSSAI、Allowed NSSAI、Rejected S-NSSAIs。

输出格式为json格式{""总结"":""""}","{""总结"":""5G网络采用网络切片技术在同一硬件基础设施上按需分配资源，形成不同且相互隔离的切片网络以承载多种业务场景。网络切片是一个端到端的概念，包括无线、传输及核心网，核心网内的切片功能主要由NSSF网络功能实现，切片标识采用S-NSSAI。相关概念包括Subscribed S-NSSAIs、Requested NSSAI、Configured NSSAI、Allowed NSSAI、Rejected S-NSSAIs。""}",概念介绍,5G网络需要承载多类型的业务场景，各场景将区别于4G，不再使用一张网络提供服务，而是利用网络切片技术在同一个硬件基础设施上按需分配资源组合出不同且相互隔离的切片网络。,5G网络需要承载多类型的业务场景，各场景将区别于4G，不再使用一张网络提供服务，而是利用网络切片技术在同一个硬件基础设施上按需分配资源组合出不同且相互隔离的切片网络。网络切片是一个端到端的概念，包括无线、传输及核心网，UNC则提供了核心网内的切片功能，主要由NSSF网络功能来实现。网络切片使用S-NSSAI（Single Network Slice Selection Assistance Information）进行标识。相关概念如下：Subscribed S-NSSAIs、Requested NSSAI、Configured NSSAI、Allowed NSSAI、Rejected S-NSSAIs。,网络部署/特性部署/UNC特性指南/网络切片功能/zh-cn_topic_0247814887.html
语义理解,文本摘要,"你是告警助理，你的任务是根据用户提供的内容进行摘要总结

S5/S8(PGW-C)因WLAN到EUTRAN切换发送IMS用户QCI为1的Create Bearer Request消息数的含义是统计指定周期内，用户从WLAN到EUTRAN切换时，PGW-C通过S5/S8接口发送的IMS用户QCI为1的Create Bearer Request消息数。配置APN的情况下，优先看APN下的IMSSWITCH使能标记，APN下IMSSWITCH配置为使能则进行统计，APN下IMSSWITCH配置为不使能则不进行统计。APN下IMSSWITCH配置为INHERIT的情况下看全局配置，全局IMSSWITCH配置为使能则统计，否则不统计。

输出格式为json格式{""总结"":""""}","{""总结"":""该测量指标在指定周期内，统计了用户从WLAN到EUTRAN切换时，PGW-C通过S5/S8接口发送的IMS用户QCI为1的Create Bearer Request消息数。统计规则根据APN下的IMSSWITCH配置决定，如果IMSSWITCH被使能则进行统计，否则不进行统计。若APN下IMSSWITCH配置为INHERIT，则会参考全局IMSSWITCH的配置。""}",概念介绍,介绍该测量指标在指定周期内，用户从WLAN到EUTRAN切换时，PGW-C通过S5/S8接口发送的IMS用户QCI为1的Create Bearer Request消息数的含义和其统计条件。,该测量指标用于统计指定周期内，用户从WLAN到EUTRAN切换时，PGW-C通过S5/S8接口发送的IMS用户QCI为1的Create Bearer Request消息数。配置APN的情况下，优先看APN下的IMSSWITCH使能标记，APN下IMSSWITCH配置为使能则进行统计，APN下IMSSWITCH配置为不使能则不进行统计。APN下IMSSWITCH配置为INHERIT的情况下看全局配置，全局IMSSWITCH配置为使能则统计，否则不统计。,OM参考/性能指标/业务性能指标/业务性能指标/AMF/SMF/GW-C/NRF/NSSF/SMSF/NCG业务性能指标/SGW/PGW/GGSN GTP会话管理/PGW-C业务层S5/S8接口IMS流程/1929458600.html
语义理解,文本摘要,"你是告警助理，你的任务是根据用户提供的内容进行摘要总结

UNC和UDG支持的全部S11接口错误码如表1所示。表1 S11接口错误码错误码 | 错误码含义 | UNC处理方式 | UDG处理方式 ---|---|---|--- 64 | Context Not Found | - | S4/S11/S5/S8/S2a/S2b接口错误码-64 65 | Invalid Message Format | - | S4/S11/S5/S8/S2a/S2b接口错误码-65 66 | Version not supported by next peer | - | S4/S11/S5/S8/S2a/S2b接口错误码-66 68 | Service not supported | - | S4/S11/S5/S8/S2a/S2b接口错误码-68 69 | Mandatory IE incorrect | - | S4/S11/S5/S8/S2a/S2b接口错误码-69 70 | Mandatory IE missing | - | S4/S11/S5/S8/S2a/S2b接口错误码-70 72 | System failure | - | S4/S11/S5/S8/S2a/S2b接口错误码-72 73 | No resources available | - | S4/S11/S5/S8/S2a/S2b接口错误码-73 74 | Semantic error in the TFT operation | - | S4/S11/S5/S8/S2a/S2b接口错误码-74 76 | Semantic errors in packet filter(s) | - | S4/S11/S5/S8/S2a/S2b接口错误码-76 77 | Syntactic errors in packet filter(s) | - | S4/S11/S5/S8/S2a/S2b接口错误码-77 78 | Missing or unknown APN | - | S4/S11/S5/S8/S2a/S2b接口错误码-78 81 | Relocation failure | - | S4/S11/S5/S8/S2a/S2b接口错误码-81 82 | Denied in RAT | - | S4/S11/S5/S8/S2a/S2b接口错误码-82 83 | Preferred PDN type not supported | - | S4/S11/S5/S8/S2a/S2b接口错误码-83 84 | All dynamic addresses are occupied | - | S4/S11/S5/S8/S2a/S2b接口错误码-84 85 | UE context without TFT already activated | - | S4/S11/S5/S8/S2a/S2b接口错误码-85 86 | Protocol type not supported | - | S4/S11/S5/S8/S2a/S2b接口错误码-86 87 | UE not responding | Create Bearer Response：UE not responding | S4/S11/S5/S8/S2a/S2b接口错误码-87 88 | UE refuses | Create Bearer Response：UE refuses | - 89 | Service denied | - | S4/S11/S5/S8/S2a/S2b接口错误码-89 90 | Unable to page UE | - | S4/S11/S5/S8/S2a/S2b接口错误码-90 91 | No memory available | - | S4/S11/S5/S8/S2a/S2b接口错误码-91 92 | User authentication failed | - | S4/S11/S5/S8/S2a/S2b接口错误码-92 93 | APN access denied – no subscription | - | S4/S11/S5/S8/S2a/S2b接口错误码-93 94 | Request rejected | Create Bearer Response：Request rejected | S4/S11/S5/S8/S2a/S2b接口错误码-94 96 | IMSI not known | - | S4/S11/S5/S8/S2a/S2b接口错误码-96 97 | Semantic error in the TAD operation | - | S4/S11/S5/S8/S2a/S2b接口错误码-97 100 | Remote peer not responding | - | S4/S11/S5/S8/S2a/S2b接口错误码-100 103 | Conditional IE missing | - | S4/S11/S5/S8/S2a/S2b接口错误码-103 104 | APN Restriction type Incompatible with currently active PDN connection | - | S4/S11/S5/S8/S2a/S2b接口错误码-104 106 | Data forwarding not supported | - | S4/S11/S5/S8/S2a/S2b接口错误码-106 107 | Invalid reply from remote peer | - | S4/S11/S5/S8/S2a/S2b接口错误码-107

输出格式为json格式{""总结"":""""}","{""总结"":""本文档详细列出了UNC和UDG支持的全部S11接口错误码以及对应的错误含义和处理方式。错误码包括Context Not Found, Invalid Message Format, Version not supported by next peer, Service not supported等。其中一部分错误码UNC没有特定处理方式，而UDG则会指定对应的接口错误码进行处理。""}",表格,本文档详细列出了UNC和UDG支持的全部S11接口错误码以及对应的错误含义和处理方式。,"UNC和UDG支持的全部S11接口错误码如表1所示。

表1 S11接口错误码错误码 | 错误码含义 | UNC处理方式 | UDG处理方式
---|---|---|---
64 | Context Not Found | - | S4/S11/S5/S8/S2a/S2b接口错误码-64
65 | Invalid Message Format | - | S4/S11/S5/S8/S2a/S2b接口错误码-65
66 | Version not supported by next peer | - | S4/S11/S5/S8/S2a/S2b接口错误码-66
68 | Service not supported | - | S4/S11/S5/S8/S2a/S2b接口错误码-68
69 | Mandatory IE incorrect | - | S4/S11/S5/S8/S2a/S2b接口错误码-69
70 | Mandatory IE missing | - | S4/S11/S5/S8/S2a/S2b接口错误码-70
72 | System failure | - | S4/S11/S5/S8/S2a/S2b接口错误码-72
73 | No resources available | - | S4/S11/S5/S8/S2a/S2b接口错误码-73
74 | Semantic error in the TFT operation | - | S4/S11/S5/S8/S2a/S2b接口错误码-74
76 | Semantic errors in packet filter(s) | - | S4/S11/S5/S8/S2a/S2b接口错误码-76
77 | Syntactic errors in packet filter(s) | - | S4/S11/S5/S8/S2a/S2b接口错误码-77
78 | Missing or unknown APN | - | S4/S11/S5/S8/S2a/S2b接口错误码-78
81 | Relocation failure | - | S4/S11/S5/S8/S2a/S2b接口错误码-81
82 | Denied in RAT | - | S4/S11/S5/S8/S2a/S2b接口错误码-82
83 | Preferred PDN type not supported | - | S4/S11/S5/S8/S2a/S2b接口错误码-83
84 | All dynamic addresses are occupied | - | S4/S11/S5/S8/S2a/S2b接口错误码-84
85 | UE context without TFT already activated | - | S4/S11/S5/S8/S2a/S2b接口错误码-85
86 | Protocol type not supported | - | S4/S11/S5/S8/S2a/S2b接口错误码-86
87 | UE not responding | Create Bearer Response：UE not responding | S4/S11/S5/S8/S2a/S2b接口错误码-87
88 | UE refuses | Create Bearer Response：UE refuses | -
89 | Service denied | - | S4/S11/S5/S8/S2a/S2b接口错误码-89
90 | Unable to page UE | - | S4/S11/S5/S8/S2a/S2b接口错误码-90
91 | No memory available | - | S4/S11/S5/S8/S2a/S2b接口错误码-91
92 | User authentication failed | - | S4/S11/S5/S8/S2a/S2b接口错误码-92
93 | APN access denied – no subscription | - | S4/S11/S5/S8/S2a/S2b接口错误码-93
94 | Request rejected | Create Bearer Response：Request rejected | S4/S11/S5/S8/S2a/S2b接口错误码-94
96 | IMSI not known | - | S4/S11/S5/S8/S2a/S2b接口错误码-96
97 | Semantic error in the TAD operation | - | S4/S11/S5/S8/S2a/S2b接口错误码-97
100 | Remote peer not responding | - | S4/S11/S5/S8/S2a/S2b接口错误码-100
103 | Conditional IE missing | - | S4/S11/S5/S8/S2a/S2b接口错误码-103
104 | APN Restriction type Incompatible with currently active PDN connection | - | S4/S11/S5/S8/S2a/S2b接口错误码-104
106 | Data forwarding not supported | - | S4/S11/S5/S8/S2a/S2b接口错误码-106
107 | Invalid reply from remote peer | - | S4/S11/S5/S8/S2a/S2b接口错误码-107",快速入门/协议与流程/EPC信令分析/EPC信令与协议分析/接口协议/S11/cn_1_10_11400.html
语义理解,文本摘要,"你是告警助理，你的任务是根据用户提供的内容进行摘要总结

增加APNNI库记录命令执行后立即生效，本表最大记录数为256条，添加APNNI对应的终端类型记录后，要使用基于终端类型的性能统计功能，还需要加载License项“Smartphone话务模型统计”。此命令执行后立即生效。本表最大记录数为256条。添加APNNI对应的终端类型记录后，要使用基于终端类型的性能统计功能，还需要加载License项“Smartphone话务模型统计”。用户请求的APNNI和终端类型的对应关系记录最多能添加128条。签约数据中的APNNI和终端类型的对应关系记录最多也只能添加128条。

输出格式为json格式{""总结"":""""}","{""总结"":""执行增加APNNI库记录命令后会立即生效，这个表的最大记录数为256条。在添加APNNI对应的终端类型记录后，若想使用基于终端类型的性能统计功能，还需要加载License项“Smartphone话务模型统计”。同时，用户请求的APNNI和终端类型的对应关系记录以及签约数据中的APNNI和终端类型的对应关系记录最多都只能添加128条。""}",事实陈述,增加APNNI库记录命令执行后立即生效，本表最大记录数为256条，添加APNNI对应的终端类型记录后，要使用基于终端类型的性能统计功能，还需要加载License项“Smartphone话务模型统计”。,此命令执行后立即生效。本表最大记录数为256条。添加APNNI对应的终端类型记录后，要使用基于终端类型的性能统计功能，还需要加载License项“Smartphone话务模型统计”。用户请求的APNNI和终端类型的对应关系记录最多能添加128条。签约数据中的APNNI和终端类型的对应关系记录最多也只能添加128条。,OM参考/命令/UNC MML命令/业务服务管理/Pre 5G接入业务管理/控制面管理/业务安全管理/Smartphone管理/终端类型识别/APNNI库管理/add_apnnilib.html
语义理解,文本摘要,"你是告警助理，你的任务是根据用户提供的内容进行摘要总结

当MSC Pool中某个MSC进行软件升级，或者发生故障暂时不能使用时，对于联合附着用户和联合RA/LA更新用户，需要SGSN将此类用户迁移到其他MSC上去，以避免此类用户附着失败或业务中断。用户通过SGSN（与该MSC有Gs接口，且开启Gs接口功能的所有SGSN）操作维护终端下发命令启动迁移，SGSN将该MSC状态信息标识为不可用，该MSC进入迁移状态。SGSN进行用户迁移，为用户重新选择可用的MSC。用户迁移过程一共分为两个阶段：第一阶段：迁移空闲态的MS。当MS发起联合RA/LA更新、联合附着或者周期路由区更新时，SGSN将该用户分配到其他的MSC上，实现用户迁移。第一阶段的迁移时长可以通过参数“第一阶段迁移时间(min)”确定。第二阶段：第一阶段结束后，对于没有迁移的用户，例如处于连接态的用户，SGSN向用户下发“IMSI detach”请求，要求用户重新附着。在用户重新附着时，SGSN将该用户分配到其他的MSC上，实现用户迁移。在启动迁移后任何时刻，用户都可通过SGSN操作维护终端下发命令终止迁移。用户下发终止迁移命令后，SGSN启动回退过程。在MS发起联合RA/LA更新、联合附着或者周期路由区更新时，SGSN强制执行Gs口更新，将已迁移到其他MSC上的MS重新分配到原MSC上。一般情况下，一个周期路由更新周期后，绝大多数MS可回到原MSC上。

输出格式为json格式{""总结"":""""}","{""总结"":""当MSC Pool中的某个MSC进行软件升级或发生故障时，需要通过SGSN将联合附着用户和联合RA/LA更新用户迁移到其他可用的MSC上，以避免用户附着失败或业务中断。用户迁移过程分为两个阶段：第一阶段是迁移空闲态的MS，此阶段的时长可以通过参数设定；第二阶段是对于未迁移的用户，例如处于连接态的用户，SGSN会向他们下发“IMSI detach”请求，要求用户重新附着并完成迁移。在迁移过程中，如果用户需要停止迁移，可以通过SGSN操作维护终端下发命令终止迁移，并启动回退过程，使已迁移到其他MSC上的MS重新分配到原MSC上。""}",处理步骤,描述在MSC Pool中进行软件升级或发生故障时，如何通过SGSN将用户迁移到其他MSC以避免失败或业务中断，以及用户迁移的两个阶段。同时，描述了用户迁移过程中如何通过SGSN操作维护终端下发命令终止迁移并启动回退过程。,当MSC Pool中某个MSC进行软件升级，或者发生故障暂时不能使用时，对于联合附着用户和联合RA/LA更新用户，需要SGSN将此类用户迁移到其他MSC上去，以避免此类用户附着失败或业务中断。用户通过SGSN（与该MSC有Gs接口，且开启Gs接口功能的所有SGSN）操作维护终端下发命令启动迁移，SGSN将该MSC状态信息标识为不可用，该MSC进入迁移状态。SGSN进行用户迁移，为用户重新选择可用的MSC。用户迁移过程一共分为两个阶段：第一阶段：迁移空闲态的MS。当MS发起联合RA/LA更新、联合附着或者周期路由区更新时，SGSN将该用户分配到其他的MSC上，实现用户迁移。第一阶段的迁移时长可以通过参数“第一阶段迁移时间(min)”确定。第二阶段：第一阶段结束后，对于没有迁移的用户，例如处于连接态的用户，SGSN向用户下发“IMSI detach”请求，要求用户重新附着。在用户重新附着时，SGSN将该用户分配到其他的MSC上，实现用户迁移。在启动迁移后任何时刻，用户都可通过SGSN操作维护终端下发命令终止迁移。用户下发终止迁移命令后，SGSN启动回退过程。在MS发起联合RA/LA更新、联合附着或者周期路由区更新时，SGSN强制执行Gs口更新，将已迁移到其他MSC上的MS重新分配到原MSC上。一般情况下，一个周期路由更新周期后，绝大多数MS可回到原MSC上。,网络部署/特性部署/UNC特性指南/容灾功能/WSFD-104202 MSC Pool内的用户迁移（Gs接口）/unc_2000_feature_desc_subscriber_migration_in_msc_pool_based_on_gs_02.html
工具使用,工具使用,"你可以调用各种用户自定义的工具来解决用户问题。你的任务是根据<工具描述>解决<用户问题>

<工具描述>：
[{'name': 'DSP_LICENSE', 'description': '确认对应特性license是否得到授权.', 'arguments': {'feature': 'String 特性编号'}, 'results': 'String 特性license授权情况'}, {'name': 'LST_LICENSESWITCH', 'description': '确认特性开关状态.', 'arguments': {'feature': 'String 特性编号'}, 'results': 'String 特性开关状态'}]

<用户问题>:
你需要使用工具DSP_LICENSE和LST_LICENSESWITCH来确认别名APN特性（特性编号：WSFD-106203）的license是否得到授权，并检查特性开关是否打开。","首先，我们需要使用工具DSP_LICENSE来确认别名APN特性（特性编号：WSFD-106203）的license是否得到授权。我们需要将""WSFD-106203""作为参数传给工具。

使用方式如下：
```python
DSP_LICENSE(feature='WSFD-106203')
```
这将返回特性license的授权情况。

然后，我们需要使用工具LST_LICENSESWITCH来检查特性开关是否打开。我们也需要将""WSFD-106203""作为参数传给工具。

使用方式如下：
```python
LST_LICENSESWITCH(feature='WSFD-106203')
```
这将返回特性开关的状态。

请注意，这两个工具返回的结果都是字符串，您需要根据返回的字符串来判断license的授权情况和特性开关的状态。",事实陈述,描述在使用修改别名APN配置命令时需要注意的事项。,该命令只在运营商调整网络时使用，只对后续的APN起作用，对于已有连接的APN不起作用。此配置涉及别名APN特性（特性编号：WSFD-106203，license部件编码：LKV2ALIASAPN02），执行命令请使用[**DSP LICENSE**](dsp_license.html)命令确认对应特性license是否得到授权，执行[**LST LICENSESWITCH**](lst_licenseswitch.html)命令确认特性开关状态为“打开”。,OM参考/命令/UNC MML命令/业务服务管理/Pre 5G接入业务管理/控制面管理/业务安全管理/会话管理/别名APN管理/mod_aliasapn.html
工具使用,工具使用,"你可以调用各种用户自定义的工具来解决用户问题。你的任务是根据<工具描述>解决<用户问题>

<工具描述>：
[{""name"": ""ARP_Security"", ""description"": ""UNC实现的ARP安全特性工具，用于防范、检测和解决ARP攻击."", ""arguments"": {""attack_type"": ""String ARP攻击类型"", ""network_id"": ""String 网络ID""}, ""results"": ""String ARP攻击防御的结果""}, {""name"": ""Final Answer"", ""description"": ""回答用户的问题"", ""arguments"": {""final_answer"": ""String 答案内容""}}]

<用户问题>:
在网络ID为123的网络中，发现了ARP欺骗攻击，使用ARP_Security工具解决此问题，并按照JSON格式输出<用户问题>对应参数的结果","{
""ARP_Security"": {
""attack_type"": ""ARP欺骗攻击"",
""network_id"": ""123""
},
""Final Answer"": {
""final_answer"": ""已使用ARP_Security工具成功防范并解决了ARP欺骗攻击""
}
}",概念介绍,介绍了ARP攻击防御的主要概念和UNC实现了一组ARP安全特性的情况。,ARP协议是二层网络运行的基础协议之一，其具有简单、易用的优点，但缺乏安全机制，容易被攻击发起者利用而增加网络安全风险。ARP攻击类型包括两类：ARP欺骗攻击和ARP泛洪攻击。UNC实现了一组ARP安全特性，提供了多种技术对ARP攻击进行防范、检测和解决，能够防范针对ARP协议的攻击，有效避免ARP攻击对网络安全性的危害，保证网络设备和通信网络的安全性。,快速入门/产品安全/UNC安全原理/网络层安全/防攻击/zh-cn_topic_0173122090.html
工具使用,工具使用,"你可以调用各种用户自定义的工具来解决用户问题。你的任务是根据<工具描述>解决<用户问题>

<工具描述>：
[{'name': 'GetSliceInfo', 'description': '根据S-NSSAI获取网络切片信息.', 'arguments': {'snssai': 'String S-NSSAI的值'}, 'results': '网络切片信息'}, {'name': 'GetSliceStatus', 'description': '根据网络切片ID获取网络切片状态.', 'arguments': {'sliceId': 'String 网络切片ID'}, 'results': '网络切片状态'}, {'name': 'GetSliceResources', 'description': '根据网络切片ID获取网络切片资源使用情况.', 'arguments': {'sliceId': 'String 网络切片ID'}, 'results': '网络切片资源使用情况'}, {'name': 'Final Answer', 'description': '回答用户的问题', 'arguments': {'final_answer': 'String 答案内容'}}]

<用户问题>:
使用GetSliceInfo工具，根据S-NSSAI('001-010')获取网络切片信息，并使用GetSliceStatus和GetSliceResources工具，根据网络切片ID获取网络切片的状态和资源使用情况，最后按照JSON格式输出<用户问题>对应参数的结果","首先，调用GetSliceInfo工具，代码如下：

```python
slice_info = GetSliceInfo(snssai='001-010')
```

得到的`slice_info`即为所需的网络切片信息，其中会包含网络切片ID。

然后，根据获取到的网络切片ID，调用GetSliceStatus和GetSliceResources工具，代码如下：

```python
slice_status = GetSliceStatus(sliceId=slice_info['sliceId'])
slice_resources = GetSliceResources(sliceId=slice_info['sliceId'])
```

最后，将获取到的网络切片信息、网络切片状态和网络切片资源使用情况以JSON格式输出，代码如下：

```python
final_answer = {
    'slice_info': slice_info,
    'slice_status': slice_status,
    'slice_resources': slice_resources
}
```

调用Final Answer工具：

```python
Final Answer(final_answer=json.dumps(final_answer))
```

以上即为解答过程。",概念介绍,5G网络需要承载多类型的业务场景，各场景将区别于4G，不再使用一张网络提供服务，而是利用网络切片技术在同一个硬件基础设施上按需分配资源组合出不同且相互隔离的切片网络。,5G网络需要承载多类型的业务场景，各场景将区别于4G，不再使用一张网络提供服务，而是利用网络切片技术在同一个硬件基础设施上按需分配资源组合出不同且相互隔离的切片网络。网络切片是一个端到端的概念，包括无线、传输及核心网，UNC则提供了核心网内的切片功能，主要由NSSF网络功能来实现。网络切片使用S-NSSAI（Single Network Slice Selection Assistance Information）进行标识。相关概念如下：Subscribed S-NSSAIs、Requested NSSAI、Configured NSSAI、Allowed NSSAI、Rejected S-NSSAIs。,网络部署/特性部署/UNC特性指南/网络切片功能/zh-cn_topic_0247814887.html
